ope_id,school,state,zip_code,school_type,dl_sub_num,dl_sub_dollars,unsub_ug_num,unsub_ug_dollars,unsub_grad_num,unsub_grad_dollars,parent_plus_num,parent_plus_dollars,grad_plus_num,grad_plus_dollars
100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,357621357,Public,2541,9933986,2591,9902541,862,15242273,695,8063228,133,788345
100300,FAULKNER UNIVERSITY,AL,361093398,Private-Nonprofit,1059,3585905,936,2785213,437,6641677,140,1280215,191,5100279
100400,UNIVERSITY OF MONTEVALLO,AL,351156000,Public,1200,4662072,1247,4851380,216,3233900,189,1972127,6,51096
100500,ALABAMA STATE UNIVERSITY,AL,361045714,Public,2568,9634925,2573,9585668,419,6527352,668,6841725,82,754698
100700,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,350100000,Public,446,1403096,404,1324619,0,0,1,4893,0,0
100800,ATHENS STATE UNIVERSITY,AL,356111999,Public,1196,4968606,1028,6127253,0,0,15,97659,0,0
100900,AUBURN UNIVERSITY,AL,368495113,Public,5157,20947371,5616,19985629,1706,40252931,1313,29895668,322,5414361
101200,BIRMINGHAM-SOUTHERN COLLEGE,AL,352540002,Private-Nonprofit,430,1702368,558,2003585,0,0,149,2292555,0,0
101300,CALHOUN COMMUNITY COLLEGE,AL,356710000,Public,1910,5953054,1769,5908302,0,0,8,28560,0,0
101500,ENTERPRISE STATE COMMUNITY COLLEGE,AL,363311300,Public,210,663921,213,698929,0,0,0,0,0,0
101600,UNIVERSITY OF NORTH ALABAMA,AL,356320001,Public,2472,9414254,2399,9231765,310,4583695,320,3200938,4,40620
101900,HUNTINGDON COLLEGE,AL,361062148,Private-Nonprofit,613,2504422,699,2926077,0,0,170,1812323,0,0
102000,JACKSONVILLE STATE UNIVERSITY,AL,362651602,Public,3006,12078175,2949,11969719,478,7475656,322,2854114,6,112269
102200,JEFFERSON STATE COMMUNITY COLLEGE,AL,352153098,Public,1056,3266334,526,1493082,0,0,0,0,0,0
102300,JUDSON COLLEGE,AL,367562504,Private-Nonprofit,108,418391,121,421012,0,0,38,339271,0,0
102400,UNIVERSITY OF WEST ALABAMA,AL,354700000,Public,1044,4079186,1059,4213134,1238,18418335,309,3338733,0,0
102600,MARION MILITARY INSTITUTE,AL,367563214,Public,147,444893,197,722588,0,0,31,150192,0,0
102800,MILES COLLEGE,AL,350642697,Private-Nonprofit,1353,5180220,1338,3525818,0,0,299,2269631,0,0
102900,UNIVERSITY OF MOBILE,AL,366630220,Private-Nonprofit,755,2957718,838,3287807,85,1357252,129,1449029,0,0
103100,NORTHEAST ALABAMA COMMUNITY COLLEGE,AL,359860159,Public,181,399800,119,270300,0,0,0,0,0,0
103300,OAKWOOD UNIVERSITY,AL,358960001,Private-Nonprofit,984,4201231,1002,3743963,11,189540,202,2963569,0,0
103600,SAMFORD UNIVERSITY,AL,352297000,Private-Nonprofit,721,2949388,890,3527760,1172,25992437,310,5826528,780,13648419
103800,SNEAD STATE COMMUNITY COLLEGE,AL,359570734,Public,508,1558821,129,361467,0,0,4,27300,0,0
104000,SOUTHERN UNION STATE COMMUNITY COLLEGE,AL,362760000,Public,719,2101298,551,1709939,0,0,16,60666,0,0
104100,SPRING HILL COLLEGE,AL,366081791,Private-Nonprofit,570,2335075,637,2315970,30,452109,199,2375059,0,0
104400,STILLMAN COLLEGE,AL,354011430,Private-Nonprofit,691,2504983,670,2471505,0,0,199,1092531,0,0
104600,TALLADEGA COLLEGE,AL,351602354,Private-Nonprofit,506,2161854,472,2026748,0,0,35,247295,0,0
104700,TROY UNIVERSITY,AL,360820001,Public,5237,20093900,5360,24124746,1738,27806738,428,4337500,88,1003388
105000,TUSKEGEE UNIVERSITY,AL,360881645,Private-Nonprofit,1494,6195651,1539,5671868,328,11037476,589,10271167,227,6275104
105100,UNIVERSITY OF ALABAMA,AL,354870120,Public,9383,37747602,10871,40429662,1740,27897356,2575,61645403,239,3898560
105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,352941150,Public,4241,16907634,4491,18834420,2586,54920875,537,6683053,544,10567633
105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE,AL,358990001,Public,1882,7366806,2042,9081712,366,4918784,219,2561109,12,121888
105700,UNIVERSITY OF SOUTH ALABAMA,AL,366880002,Public,4971,19302133,5134,21292129,2388,40401470,1581,17870754,698,4011431
106000,COASTAL ALABAMA COMMUNITY COLLEGE,AL,365072698,Public,1042,3212672,1102,3920423,0,0,44,251926,0,0
106100,ALASKA PACIFIC UNIVERSITY,AK,995084672,Private-Nonprofit,73,292153,77,372286,63,1081145,6,55755,2,20100
106300,UNIVERSITY OF ALASKA FAIRBANKS,AK,997757500,Public,1222,4504105,1227,5912920,148,2038398,62,852084,5,73904
106500,UNIVERSITY OF ALASKA SOUTHEAST,AK,998018680,Public,315,1267858,311,1663139,79,1204630,14,149397,27,225097
107100,ARIZONA WESTERN COLLEGE,AZ,853658847,Public,188,519649,120,311099,0,0,6,62404,0,0
107200,COCHISE COLLEGE,AZ,856352317,Public,211,626282,150,488903,0,0,0,0,0,0
107400,GRAND CANYON UNIVERSITY,AZ,850173030,Proprietary,11154,42015113,11962,52515345,7205,79627665,1177,11725327,84,976490
107600,GLENDALE COMMUNITY COLLEGE,AZ,853023090,Public,2082,6386165,341,1420455,0,0,0,0,0,0
107700,MESA COMMUNITY COLLEGE,AZ,852024866,Public,2836,8667502,980,3631122,0,0,12,124421,0,0
107800,PHOENIX COLLEGE,AZ,850134234,Public,1956,5999203,1614,6905369,0,0,2,13750,0,0
107900,YAVAPAI COLLEGE,AZ,863013297,Public,592,2007234,520,2043455,0,0,4,39065,0,0
108100,ARIZONA STATE UNIVERSITY,AZ,852870412,Public,26405,108247368,25463,119270758,5564,91603358,5183,94194547,2794,40677478
108200,NORTHERN ARIZONA UNIVERSITY,AZ,860110001,Public,9167,36730300,9012,36648417,1562,23320042,2562,37284521,324,2725439
108300,UNIVERSITY OF ARIZONA (THE),AZ,857210066,Public,9306,37551760,9051,35173653,2889,60494542,3119,63255151,565,7747747
108500,UNIVERSITY OF ARKANSAS AT MONTICELLO,AR,716560000,Public,1162,3913344,1043,3833822,108,1086445,30,190557,0,0
108600,UNIVERSITY OF ARKANSAS AT PINE BLUFF,AR,716012790,Public,1057,3945015,1011,3037767,40,288580,115,810630,0,0
108700,ARKANSAS BAPTIST COLLEGE,AR,722026099,Private-Nonprofit,758,2502067,779,2841358,0,0,60,478318,0,0
108800,LYON COLLEGE,AR,725013699,Private-Nonprofit,312,1253771,364,1286697,0,0,75,719481,0,0
108900,ARKANSAS TECH UNIVERSITY,AR,728012222,Public,3476,12338438,3323,13808723,352,4466119,210,1147382,4,21551
109000,ARKANSAS STATE UNIVERSITY,AR,724010000,Public,3637,14467065,3660,16095082,2014,23105681,306,2761517,78,1191841
109100,ARKANSAS STATE UNIVERSITY - BEEBE,AR,720121000,Public,295,823203,199,708863,0,0,1,4627,0,0
109200,UNIVERSITY OF CENTRAL ARKANSAS,AR,720350001,Public,3542,13007815,3598,14241944,816,9773852,696,5733719,35,104619
109300,CENTRAL BAPTIST COLLEGE,AR,720346470,Private-Nonprofit,370,1390445,381,1905700,0,0,88,760271,0,0
109400,UNIVERSITY OF THE OZARKS,AR,728302880,Private-Nonprofit,31,133937,22,105713,0,0,1,40000,0,0
109500,CROWLEY'S RIDGE COLLEGE,AR,724509775,Private-Nonprofit,40,150193,38,150500,0,0,7,41940,0,0
109700,HARDING UNIVERSITY,AR,721490001,Private-Nonprofit,1516,6168971,1820,7056639,602,10840041,414,5532007,239,3437962
109800,HENDERSON STATE UNIVERSITY,AR,719990001,Public,1239,4720697,1165,4387289,240,3383222,108,693950,2,36864
109900,HENDRIX COLLEGE,AR,720323080,Private-Nonprofit,383,1613132,527,2088666,5,77784,108,1835902,1,11770
110000,JOHN BROWN UNIVERSITY,AR,727612747,Private-Nonprofit,624,2592632,665,2653232,375,5503326,166,1673645,3,24120
110100,UNIVERSITY OF ARKANSAS AT LITTLE ROCK,AR,722041099,Public,3274,11850985,3247,15575628,940,14294709,159,1370517,240,1283339
110200,OUACHITA BAPTIST UNIVERSITY,AR,719980001,Private-Nonprofit,430,1717418,567,2137990,0,0,131,1552635,0,0
110300,PHILANDER SMITH COLLEGE,AR,722023718,Private-Nonprofit,378,1449291,348,1527652,0,0,77,876289,0,0
110500,SHORTER COLLEGE,AR,721144885,Private-Nonprofit,135,420582,137,643501,0,0,0,0,0,0
110600,WILLIAMS BAPTIST COLLEGE,AR,724764661,Private-Nonprofit,214,865496,175,602386,0,0,0,0,0,0
110700,SOUTHERN ARKANSAS UNIVERSITY,AR,717535000,Public,767,2849592,655,2514778,198,2340715,131,878586,2,37604
110800,UNIVERSITY OF ARKANSAS,AR,727010000,Public,5333,20768790,6575,26888468,1114,16632014,1183,17694897,115,1113719
110900,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,AR,722057102,Public,299,1279346,286,1627188,1167,34928735,28,309123,548,7263758
111000,UNIVERSITY OF ARKANSAS AT FORT SMITH,AR,729047397,Public,1814,6509890,986,3820295,0,0,35,222426,0,0
111100,ALLAN HANCOCK COLLEGE,CA,934546399,Public,46,135599,43,166604,0,0,0,0,0,0
111300,ANTELOPE VALLEY COLLEGE,CA,935365426,Public,443,1492171,116,587283,0,0,0,0,0,0
111600,ART CENTER COLLEGE OF DESIGN,CA,911031999,Private-Nonprofit,712,2504725,660,2242242,48,794500,137,4162808,26,739575
111700,AZUSA PACIFIC UNIVERSITY,CA,917027000,Private-Nonprofit,2838,12264802,2771,10285540,1922,28031236,928,12550147,841,10879208
111800,BAKERSFIELD COLLEGE,CA,933051299,Public,91,325855,86,281744,0,0,0,0,0,0
